Date,Close/Last,COMP,NATS,MSCI
8/2/2021,8898.58,14681.07,1677.47,4272.48
7/30/2021,8886.17,14672.68,1677.2,4278.63
7/29/2021,8816.69,14778.26,1684.24,4303.58
7/28/2021,8710.08,14762.58,1681.21,4286.61
7/27/2021,8593.51,14660.58,1668.99,4284.34
7/26/2021,8726.62,14840.71,1688.06,4306.08
7/23/2021,8749.52,14836.99,1689.42,4298.44
7/22/2021,8663.96,14684.6,1677.29,4253.05
7/21/2021,8638.09,14631.95,1653.55,4243
7/20/2021,8480.42,14498.88,1640.25,4208.73
7/19/2021,8348.04,14274.98,1609.76,4143.6
7/16/2021,8395.54,14427.24,1616.62,4206
7/15/2021,8497,14543.13,1613.81,4234.78
7/14/2021,8590.57,14644.95,1631.64,4248.31
7/13/2021,8622.18,14677.65,1642.89,4247.06
7/12/2021,8637.37,14733.24,1644.61,4263.82
7/9/2021,8628.16,14701.92,1658.83,4251.66
7/8/2021,8525.18,14559.78,1649.24,4203.94
7/7/2021,8612.67,14665.06,1662.15,4240.87
7/6/2021,8675.65,14663.64,1657.61,4229.11
7/2/2021,8675.76,14639.33,1638.37,4234.03
7/1/2021,8607.37,14522.38,1618.78,4203.08
6/30/2021,8681.21,14503.95,1616.44,4183.8
6/29/2021,8721.4,14528.33,1638.47,4181.75
6/28/2021,8657.39,14500.51,1630.82,4179.75
6/25/2021,8508.85,14360.39,1611.09,4167.55
6/24/2021,8510.61,14369.71,1610.15,4154.02
6/23/2021,8398.18,14271.73,1597.03,4129.22
6/22/2021,8393.89,14253.27,1597.6,4132.1
6/21/2021,8307.34,14141.48,1578.16,4107.9
6/18/2021,8268.33,14030.38,1570.99,4053.83
6/17/2021,8341.21,14161.35,1567.13,4104.3
6/16/2021,8221.57,14039.68,1537.53,4100.23
6/15/2021,8261.02,14072.86,1543.1,4121.1
6/14/2021,8334.38,14174.14,1563.27,4132.56
6/11/2021,8240.84,14069.42,1544.8,4123.26
6/10/2021,8190.75,14020.33,1528.61,4113.1
6/9/2021,8069.16,13911.75,1501.23,4091.19
6/8/2021,8092.63,13924.91,1502.69,4099.11
6/7/2021,8101.67,13881.72,1496.46,4097.89
